,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 55,55-59,60-64,65-69,70-74,75-79,80+
,E12000008,South East,E06000060,Buckinghamshire," 56,308 "," 19,404 "," 27,018 "," 25,217 "," 26,075 "," 19,896 "," 28,357 "
,E12000008,South East,E07000106,Canterbury," 15,735 "," 4,461 "," 7,276 "," 8,066 "," 9,108 "," 6,729 "," 9,168 "
,E12000008,South East,E07000177,Cherwell," 16,200 "," 4,983 "," 7,267 "," 7,025 "," 7,348 "," 5,280 "," 7,454 "
,E12000008,South East,E07000225,Chichester," 12,576 "," 5,384 "," 8,113 "," 7,595 "," 8,463 "," 6,784 "," 9,683 "
,E12000008,South East,E07000226,Crawley," 15,413 "," 3,484 "," 5,087 "," 4,276 "," 4,002 "," 2,549 "," 4,073 "
,E12000008,South East,E07000107,Dartford," 12,453 "," 3,376 "," 4,711 "," 3,953 "," 4,038 "," 2,866 "," 4,276 "
,E12000008,South East,E07000108,Dover," 13,766 "," 4,580 "," 6,840 "," 6,877 "," 7,261 "," 5,449 "," 6,884 "
,E12000008,South East,E07000085,East Hampshire," 11,629 "," 4,543 "," 7,336 "," 6,937 "," 7,476 "," 5,737 "," 7,921 "
,E12000008,South East,E07000061,Eastbourne," 15,403 "," 5,329 "," 5,664 "," 5,297 "," 6,184 "," 4,657 "," 7,312 "
,E12000008,South East,E07000086,Eastleigh," 14,530 "," 4,343 "," 6,538 "," 6,546 "," 6,841 "," 4,991 "," 7,256 "
,E12000008,South East,E07000207,Elmbridge," 12,150 "," 4,668 "," 6,432 "," 5,843 "," 6,053 "," 4,587 "," 7,336 "
,E12000008,South East,E07000208,Epsom and Ewell," 8,855 "," 3,654 "," 3,792 "," 3,400 "," 3,811 "," 2,796 "," 4,030 "
,E12000008,South East,E07000087,Fareham," 11,874 "," 5,199 "," 6,831 "," 6,269 "," 7,166 "," 5,627 "," 8,056 "
,E12000008,South East,E07000112,Folkestone and Hythe," 13,214 "," 4,430 "," 6,559 "," 6,409 "," 7,405 "," 5,314 "," 6,937 "
,E12000008,South East,E07000088,Gosport," 9,970 "," 3,288 "," 4,353 "," 4,323 "," 4,681 "," 3,370 "," 4,633 "
